Angle,Observed,Calculated,Background,SiO2_nb,Dolomite_nb,Hydroxyapatite_nb,SiO2,Dolomite,Hydroxyapatite
5.6072,1794,1798.84,1797.93,0.89,0.02,0,1798.82,1797.95,1797.93
5.6574,1767,1785.47,1784.56,0.89,0.02,0,1785.45,1784.58,1784.56
5.7075,1780,1772.07,1771.15,0.9,0.02,0,1772.05,1771.17,1771.15
5.7576,1710,1758.65,1757.73,0.9,0.02,0,1758.63,1757.75,1757.73
5.8078,1739,1745.25,1744.32,0.91,0.02,0,1745.23,1744.34,1744.32
5.8579,1774,1731.89,1730.95,0.92,0.02,0,1731.87,1730.97,1730.95
5.9081,1780,1718.59,1717.66,0.92,0.02,0,1718.58,1717.68,1717.66
5.9582,1713,1705.39,1704.45,0.93,0.02,0,1705.38,1704.47,1704.45
6.0083,1655,1692.3,1691.35,0.93,0.02,0,1692.28,1691.37,1691.35
6.0585,1661,1679.34,1678.38,0.94,0.02,0,1679.32,1678.4,1678.38
6.1086,1704,1666.51,1665.55,0.94,0.02,0,1666.49,1665.57,1665.55
6.1587,1713,1653.84,1652.88,0.95,0.02,0,1653.83,1652.9,1652.88
6.2089,1677,1641.34,1640.37,0.95,0.02,0,1641.32,1640.39,1640.37
6.259,1669,1629.02,1628.05,0.96,0.02,0,1629.01,1628.07,1628.05
6.3092,1705,1616.89,1615.91,0.96,0.02,0,1616.87,1615.93,1615.91
6.3593,1586,1604.94,1603.96,0.97,0.02,0,1604.93,1603.98,1603.96
6.4094,1594,1593.2,1592.21,0.97,0.02,0,1593.18,1592.23,1592.21
6.4596,1611,1581.65,1580.66,0.98,0.02,0,1581.64,1580.68,1580.66
6.5097,1683,1570.32,1569.31,0.99,0.02,0,1570.3,1569.33,1569.31
6.5598,1614,1559.19,1558.18,0.99,0.02,0,1559.17,1558.2,1558.18
6.61,1509,1548.26,1547.25,1,0.02,0,1548.25,1547.27,1547.25
6.6601,1584,1537.55,1536.53,1,0.02,0,1537.53,1536.55,1536.53
6.7102,1580,1527.04,1526.01,1.01,0.02,0,1527.02,1526.03,1526.01
6.7604,1530,1516.73,1515.7,1.01,0.02,0,1516.71,1515.72,1515.7
6.8105,1498,1506.63,1505.59,1.02,0.02,0,1506.61,1505.61,1505.59
6.8607,1571,1496.72,1495.68,1.03,0.02,0,1496.71,1495.7,1495.68
6.9108,1507,1487.01,1485.96,1.03,0.02,0,1486.99,1485.98,1485.96
6.9609,1540,1477.49,1476.44,1.04,0.02,0,1477.48,1476.46,1476.44
7.0111,1483,1468.16,1467.1,1.04,0.02,0,1468.14,1467.12,1467.1
7.0612,1411,1459.01,1457.95,1.05,0.02,0,1459,1457.97,1457.95
7.1113,1535,1450.04,1448.97,1.06,0.02,0,1450.03,1448.99,1448.97
7.1615,1498,1441.24,1440.16,1.06,0.02,0,1441.22,1440.18,1440.16
7.2116,1424,1432.61,1431.52,1.07,0.02,0,1432.59,1431.54,1431.52
7.2618,1505,1424.14,1423.04,1.07,0.02,0,1424.11,1423.06,1423.04
7.3119,1448,1415.82,1414.72,1.08,0.02,0,1415.8,1414.74,1414.72
7.362,1326,1407.65,1406.55,1.09,0.02,0,1407.64,1406.57,1406.55
7.4122,1384,1399.63,1398.52,1.09,0.02,0,1399.61,1398.54,1398.52
7.4623,1426,1391.74,1390.62,1.1,0.02,0,1391.72,1390.64,1390.62
7.5124,1388,1383.99,1382.86,1.11,0.02,0,1383.97,1382.88,1382.86
7.5626,1479,1376.36,1375.23,1.11,0.02,0,1376.34,1375.25,1375.23
7.6127,1309,1368.85,1367.71,1.12,0.02,0,1368.83,1367.73,1367.71
7.6629,1385,1361.46,1360.31,1.13,0.02,0,1361.44,1360.33,1360.31
7.713,1350,1354.18,1353.02,1.13,0.02,0,1354.15,1353.04,1353.02
7.7631,1336,1347,1345.84,1.14,0.02,0,1346.98,1345.86,1345.84
7.8133,1391,1339.91,1338.75,1.15,0.02,0,1339.9,1338.77,1338.75
7.8634,1316,1332.93,1331.75,1.15,0.02,0,1332.9,1331.77,1331.75
7.9135,1275,1326.03,1324.85,1.16,0.02,0,1326.01,1324.87,1324.85
7.9637,1351,1319.21,1318.02,1.17,0.02,0,1319.19,1318.04,1318.02
8.0138,1338,1312.47,1311.28,1.17,0.02,0,1312.45,1311.3,1311.28
8.064,1245,1305.81,1304.61,1.18,0.02,0,1305.79,1304.63,1304.61
8.1141,1263,1299.22,1298.01,1.19,0.02,0,1299.2,1298.03,1298.01
8.1642,1227,1292.69,1291.48,1.19,0.02,0,1292.67,1291.5,1291.48
8.2144,1295,1286.22,1285,1.2,0.02,0,1286.2,1285.02,1285
8.2645,1230,1279.81,1278.59,1.21,0.02,0,1279.8,1278.61,1278.59
8.3146,1362,1273.46,1272.23,1.21,0.02,0,1273.44,1272.25,1272.23
8.3648,1267,1267.16,1265.91,1.22,0.02,0,1267.13,1265.93,1265.91
8.4149,1252,1260.9,1259.65,1.23,0.02,0,1260.88,1259.67,1259.65
8.465,1209,1254.69,1253.43,1.23,0.02,0,1254.66,1253.45,1253.43
8.5152,1207,1248.51,1247.25,1.24,0.02,0,1248.49,1247.27,1247.25
8.5653,1222,1242.38,1241.11,1.25,0.02,0,1242.36,1241.13,1241.11
8.6155,1203,1236.28,1235.01,1.26,0.02,0,1236.27,1235.03,1235.01
8.6656,1224,1230.22,1228.93,1.26,0.02,0,1230.19,1228.95,1228.93
8.7157,1202,1224.19,1222.89,1.27,0.02,0,1224.16,1222.91,1222.89
8.7659,1250,1218.18,1216.88,1.28,0.02,0,1218.16,1216.9,1216.88
8.816,1199,1212.2,1210.89,1.29,0.02,0,1212.18,1210.91,1210.89
8.8661,1222,1206.25,1204.93,1.29,0.02,0,1206.22,1204.95,1204.93
8.9163,1217,1200.32,1199,1.3,0.02,0,1200.3,1199.02,1199
8.9664,1271,1194.41,1193.08,1.31,0.02,0,1194.39,1193.1,1193.08
9.0166,1188,1188.52,1187.18,1.32,0.02,0,1188.5,1187.2,1187.18
9.0667,1170,1182.65,1181.3,1.32,0.02,0,1182.62,1181.32,1181.3
9.1168,1074,1176.8,1175.44,1.33,0.02,0,1176.77,1175.46,1175.44
9.167,1061,1170.96,1169.6,1.34,0.02,0,1170.94,1169.62,1169.6
9.2171,1097,1165.14,1163.77,1.35,0.02,0,1165.12,1163.79,1163.77
9.2672,1126,1159.34,1157.96,1.36,0.02,0,1159.32,1157.98,1157.96
9.3174,1128,1153.55,1152.16,1.36,0.02,0,1153.52,1152.18,1152.16
9.3675,1129,1147.77,1146.37,1.37,0.02,0,1147.74,1146.39,1146.37
9.4177,1113,1142.01,1140.6,1.38,0.02,0,1141.98,1140.62,1140.6
9.4678,1089,1136.25,1134.84,1.39,0.02,0,1136.23,1134.86,1134.84
9.5179,1138,1130.52,1129.09,1.4,0.02,0,1130.49,1129.11,1129.09
9.5681,1085,1124.79,1123.36,1.41,0.02,0,1124.77,1123.38,1123.36
9.6182,1108,1119.07,1117.63,1.42,0.02,0,1119.05,1117.65,1117.63
9.6683,1092,1113.37,1111.92,1.42,0.02,0,1113.34,1111.94,1111.92
9.7185,1069,1107.68,1106.22,1.43,0.02,0,1107.65,1106.24,1106.22
9.7686,1079,1102,1100.53,1.44,0.02,0,1101.97,1100.55,1100.53
9.8188,1049,1096.33,1094.86,1.45,0.02,0,1096.31,1094.88,1094.86
9.8689,1085,1090.68,1089.19,1.46,0.02,0,1090.65,1089.21,1089.19
9.919,1079,1085.04,1083.54,1.47,0.02,0,1085.01,1083.56,1083.54
9.9692,1041,1079.41,1077.9,1.48,0.02,0,1079.38,1077.92,1077.9
10.0193,1062,1073.79,1072.28,1.49,0.03,0,1073.77,1072.31,1072.28
10.0694,1070,1068.19,1066.67,1.5,0.03,0,1068.17,1066.7,1066.67
10.1196,1110,1062.6,1061.07,1.51,0.03,0,1062.58,1061.1,1061.07
10.1697,1109,1057.03,1055.48,1.52,0.03,0,1057,1055.51,1055.48
10.2198,1008,1051.47,1049.92,1.53,0.03,0,1051.45,1049.95,1049.92
10.27,1061,1045.93,1044.36,1.54,0.03,0,1045.9,1044.39,1044.36
10.3201,1046,1040.4,1038.83,1.55,0.03,0,1040.38,1038.86,1038.83
10.3703,973,1034.89,1033.31,1.56,0.03,0,1034.87,1033.34,1033.31
10.4204,1016,1029.4,1027.81,1.57,0.03,0,1029.38,1027.84,1027.81
10.4705,1001,1023.93,1022.32,1.58,0.03,0,1023.9,1022.35,1022.32
10.5207,1006,1018.48,1016.86,1.59,0.03,0,1018.45,1016.89,1016.86
10.5708,991,1013.05,1011.41,1.6,0.03,0,1013.01,1011.44,1011.41
10.6209,953,1007.64,1005.99,1.61,0.03,0.02,1007.6,1006.02,1006.01
10.6711,984,1002.3,1000.59,1.62,0.03,0.06,1002.21,1000.62,1000.65
10.7212,998,997.16,995.2,1.63,0.03,0.3,996.83,995.23,995.5
10.7714,949,991.6,989.84,1.65,0.03,0.08,991.49,989.87,989.92
10.8215,1005,986.2,984.51,1.66,0.03,0,986.17,984.54,984.51
10.8716,1009,980.89,979.2,1.67,0.03,0,980.87,979.23,979.2
10.9218,956,975.62,973.91,1.68,0.03,0,975.59,973.94,973.91
10.9719,943,970.37,968.65,1.69,0.03,0,970.34,968.68,968.65
11.022,1080,965.14,963.41,1.7,0.03,0,965.11,963.44,963.41
11.0722,974,959.95,958.2,1.72,0.03,0,959.92,958.23,958.2
11.1223,975,954.78,953.02,1.73,0.03,0,954.75,953.05,953.02
11.1725,950,949.64,947.87,1.74,0.03,0,949.61,947.9,947.87
11.2226,951,944.53,942.75,1.75,0.03,0,944.5,942.78,942.75
11.2727,1009,939.45,937.66,1.76,0.03,0,939.42,937.69,937.66
11.3229,987,934.4,932.6,1.78,0.03,0,934.38,932.63,932.6
11.373,985,929.39,927.57,1.79,0.03,0,929.36,927.6,927.57
11.4231,992,924.4,922.57,1.8,0.03,0,924.37,922.6,922.57
11.4733,969,919.45,917.61,1.82,0.03,0,919.43,917.64,917.61
11.5234,933,914.53,912.68,1.83,0.03,0,914.51,912.71,912.68
11.5736,850,909.65,907.78,1.84,0.03,0,909.62,907.81,907.78
11.6237,925,904.8,902.92,1.86,0.03,0,904.78,902.95,902.92
11.6738,908,899.99,898.09,1.87,0.03,0,899.96,898.12,898.09
11.724,896,895.22,893.3,1.88,0.03,0,895.18,893.33,893.3
11.7741,964,890.48,888.55,1.9,0.03,0,890.45,888.58,888.55
11.8242,927,885.78,883.84,1.91,0.03,0,885.75,883.87,883.84
11.8744,924,881.12,879.16,1.93,0.03,0,881.09,879.19,879.16
11.9245,951,876.5,874.53,1.94,0.03,0,876.47,874.56,874.53
11.9746,925,871.92,869.93,1.96,0.03,0,871.89,869.96,869.93
12.0248,927,867.37,865.37,1.97,0.03,0,867.34,865.4,865.37
12.0749,822,862.87,860.85,1.99,0.03,0,862.84,860.88,860.85
12.1251,894,858.41,856.38,2,0.03,0,858.38,856.41,856.38
12.1752,880,853.99,851.94,2.02,0.03,0,853.96,851.97,851.94
12.2253,834,849.61,847.55,2.03,0.03,0,849.58,847.58,847.55
12.2755,837,845.28,843.2,2.05,0.03,0,845.25,843.23,843.2
12.3256,863,840.99,838.89,2.07,0.03,0,840.96,838.92,838.89
12.3757,819,836.74,834.62,2.08,0.03,0,836.7,834.65,834.62
12.4259,841,832.53,830.4,2.1,0.03,0,832.5,830.43,830.4
12.476,799,828.37,826.23,2.12,0.03,0,828.35,826.26,826.23
12.5262,842,824.26,822.09,2.13,0.03,0,824.22,822.12,822.09
12.5763,861,820.19,818,2.15,0.03,0,820.15,818.03,818
12.6264,777,816.16,813.96,2.17,0.03,0,816.13,813.99,813.96
12.6766,870,812.18,809.96,2.19,0.03,0,812.15,809.99,809.96
12.7267,795,808.24,806.01,2.2,0.03,0,808.21,806.04,806.01
12.7768,862,804.36,802.1,2.22,0.03,0,804.32,802.13,802.1
12.827,813,800.51,798.24,2.24,0.03,0,800.48,798.27,798.24
12.8771,772,796.72,794.42,2.26,0.03,0,796.68,794.45,794.42
12.9273,768,792.97,790.66,2.28,0.03,0,792.94,790.69,790.66
12.9774,807,789.27,786.93,2.3,0.03,0,789.23,786.96,786.93
13.0275,815,785.61,783.26,2.32,0.03,0,785.58,783.29,783.26
13.0777,786,782,779.63,2.34,0.03,0,781.97,779.66,779.63
13.1278,826,778.44,776.05,2.36,0.03,0,778.41,776.08,776.05
13.1779,798,774.93,772.51,2.38,0.03,0,774.89,772.54,772.51
13.2281,768,771.46,769.03,2.4,0.03,0,771.43,769.06,769.03
13.2782,751,768.04,765.59,2.42,0.03,0,768.01,765.62,765.59
13.3284,796,764.67,762.19,2.44,0.04,0,764.63,762.23,762.19
13.3785,805,761.35,758.85,2.46,0.04,0,761.31,758.89,758.85
13.4286,799,758.07,755.55,2.49,0.04,0,758.04,755.59,755.55
13.4788,754,754.85,752.3,2.51,0.04,0,754.81,752.34,752.3
13.5289,802,751.67,749.1,2.53,0.04,0,751.63,749.14,749.1
13.579,722,748.53,745.94,2.56,0.04,0,748.5,745.98,745.94
13.6292,733,745.45,742.84,2.58,0.04,0,745.42,742.88,742.84
13.6793,759,742.41,739.77,2.6,0.04,0,742.37,739.81,739.77
13.7294,766,739.42,736.76,2.63,0.04,0,739.39,736.8,736.76
13.7796,749,736.48,733.79,2.65,0.04,0,736.44,733.83,733.79
13.8297,716,733.59,730.88,2.68,0.04,0,733.56,730.92,730.88
13.8799,756,730.74,728,2.7,0.04,0,730.7,728.04,728
13.93,756,727.94,725.18,2.73,0.04,0,727.91,725.22,725.18
13.9801,753,725.19,722.4,2.75,0.04,0,725.15,722.44,722.4
14.0303,768,722.49,719.67,2.78,0.04,0,722.45,719.71,719.67
14.0804,721,719.83,716.98,2.81,0.04,0,719.79,717.02,716.98
14.1305,739,717.22,714.34,2.84,0.04,0,717.18,714.38,714.34
14.1807,724,714.65,711.75,2.86,0.04,0,714.61,711.79,711.75
14.2308,658,712.13,709.2,2.89,0.04,0,712.09,709.24,709.2
14.281,711,709.66,706.7,2.92,0.04,0,709.62,706.74,706.7
14.3311,726,707.23,704.24,2.95,0.04,0,707.19,704.28,704.24
14.3812,696,704.85,701.83,2.98,0.04,0,704.81,701.87,701.83
14.4314,711,702.51,699.46,3.01,0.04,0,702.47,699.5,699.46
14.4815,673,700.22,697.14,3.04,0.04,0,700.18,697.18,697.14
14.5316,653,697.98,694.86,3.08,0.04,0,697.94,694.9,694.86
14.5818,741,695.78,692.63,3.11,0.04,0,695.74,692.67,692.63
14.6319,672,693.62,690.44,3.14,0.04,0,693.58,690.48,690.44
14.6821,762,691.51,688.29,3.17,0.04,0,691.46,688.33,688.29
14.7322,715,689.44,686.19,3.21,0.04,0,689.4,686.23,686.19
14.7823,735,687.41,684.13,3.24,0.04,0,687.37,684.17,684.13
14.8325,647,685.43,682.11,3.28,0.04,0,685.39,682.15,682.11
14.8826,640,683.49,680.13,3.31,0.04,0,683.44,680.17,680.13
14.9327,690,681.6,678.2,3.35,0.04,0,681.55,678.24,678.2
14.9829,707,679.74,676.31,3.39,0.05,0,679.7,676.36,676.31
15.033,725,677.93,674.46,3.43,0.05,0,677.89,674.51,674.46
15.0832,692,676.16,672.65,3.47,0.05,0,676.12,672.7,672.65
15.1333,669,674.43,670.88,3.51,0.05,0,674.39,670.93,670.88
15.1834,663,672.74,669.15,3.55,0.05,0,672.7,669.2,669.15
15.2336,628,671.09,667.46,3.59,0.05,0,671.05,667.51,667.46
15.2837,685,669.49,665.81,3.63,0.05,0,669.44,665.86,665.81
15.3338,629,667.92,664.2,3.67,0.05,0,667.87,664.25,664.2
15.384,692,666.39,662.63,3.72,0.05,0,666.35,662.68,662.63
15.4341,655,664.9,661.09,3.76,0.05,0,664.85,661.14,661.09
15.4842,700,663.45,659.6,3.81,0.05,0,663.41,659.65,659.6
15.5344,608,662.04,658.14,3.86,0.05,0,662,658.19,658.14
15.5845,644,660.67,656.71,3.91,0.05,0,660.62,656.76,656.71
15.6347,667,659.33,655.33,3.95,0.05,0,659.28,655.38,655.33
15.6848,656,658.04,653.98,4.01,0.05,0,657.99,654.03,653.98
15.7349,580,656.78,652.67,4.06,0.05,0,656.73,652.72,652.67
15.7851,646,655.55,651.39,4.11,0.05,0,655.5,651.44,651.39
15.8352,637,654.36,650.15,4.16,0.05,0,654.31,650.2,650.15
15.8853,609,653.21,648.94,4.22,0.05,0,653.16,648.99,648.94
15.9355,637,652.09,647.76,4.28,0.06,0,652.04,647.82,647.76
15.9856,639,651.01,646.62,4.33,0.06,0,650.95,646.68,646.62
16.0358,652,649.97,645.51,4.39,0.06,0,649.9,645.57,645.51
16.0859,637,648.95,644.44,4.45,0.06,0,648.89,644.5,644.44
16.136,646,647.98,643.4,4.52,0.06,0,647.92,643.46,643.4
16.1862,638,647.03,642.39,4.58,0.07,0,646.97,642.46,642.39
16.2363,638,646.13,641.41,4.65,0.07,0,646.06,641.48,641.41
16.2864,592,645.25,640.46,4.71,0.08,0,645.17,640.54,640.46
16.3366,685,644.42,639.54,4.78,0.1,0,644.32,639.64,639.54
16.3867,653,643.63,638.65,4.85,0.12,0,643.5,638.77,638.65
16.4369,593,642.89,637.79,4.93,0.17,0,642.72,637.96,637.79
16.487,570,642.23,636.97,5,0.27,0,641.97,637.24,636.97
16.5371,605,641.73,636.17,5.08,0.49,0,641.25,636.66,636.17
16.5873,656,641.35,635.39,5.16,0.79,0,640.55,636.18,635.39
16.6374,648,640.63,634.65,5.24,0.72,0.02,639.89,635.37,634.67
16.6875,596,639.75,633.93,5.32,0.4,0.09,639.25,634.33,634.02
16.7377,620,638.9,633.24,5.41,0.22,0.03,638.65,633.46,633.27
16.7878,596,638.23,632.58,5.5,0.15,0,638.08,632.73,632.58
16.838,650,637.65,631.94,5.59,0.11,0,637.53,632.05,631.94
16.8881,637,637.11,631.33,5.69,0.09,0,637.02,631.42,631.33
16.9382,641,636.62,630.75,5.79,0.08,0,636.54,630.83,630.75
16.9884,593,636.15,630.19,5.89,0.08,0,636.08,630.27,630.19
17.0385,623,635.71,629.65,5.99,0.07,0,635.64,629.72,629.65
17.0886,599,635.3,629.14,6.1,0.07,0,635.24,629.21,629.14
17.1388,602,634.92,628.65,6.21,0.07,0,634.86,628.72,628.65
17.1889,636,634.57,628.18,6.32,0.07,0,634.5,628.25,628.18
17.239,598,634.25,627.73,6.44,0.07,0,634.17,627.8,627.73
17.2892,639,633.95,627.31,6.57,0.07,0,633.88,627.38,627.31
17.3393,607,633.67,626.91,6.7,0.07,0,633.61,626.98,626.91
17.3895,605,633.43,626.53,6.83,0.07,0,633.36,626.6,626.53
17.4396,603,633.21,626.17,6.97,0.07,0,633.14,626.24,626.17
17.4897,584,633.01,625.84,7.11,0.07,0,632.95,625.91,625.84
17.5399,602,632.84,625.52,7.26,0.07,0,632.78,625.59,625.52
17.59,634,632.7,625.22,7.41,0.07,0,632.63,625.29,625.22
17.6401,578,632.58,624.94,7.57,0.07,0,632.51,625.01,624.94
17.6903,588,632.49,624.68,7.74,0.07,0,632.42,624.75,624.68
17.7404,601,632.42,624.44,7.92,0.07,0,632.36,624.51,624.44
17.7906,616,632.38,624.21,8.1,0.07,0,632.31,624.28,624.21
17.8407,622,632.36,624.01,8.29,0.07,0,632.3,624.08,624.01
17.8908,658,632.37,623.82,8.49,0.07,0,632.31,623.89,623.82
17.941,615,632.41,623.65,8.7,0.07,0,632.35,623.72,623.65
17.9911,649,632.47,623.49,8.91,0.07,0,632.4,623.56,623.49
18.0412,628,632.56,623.35,9.14,0.07,0,632.49,623.42,623.35
18.0914,653,632.67,623.22,9.38,0.07,0,632.6,623.29,623.22
18.1415,586,632.82,623.11,9.63,0.07,0,632.74,623.18,623.11
18.1917,632,632.98,623.02,9.9,0.07,0,632.92,623.09,623.02
18.2418,582,633.18,622.93,10.17,0.07,0,633.1,623,622.93
18.2919,627,633.41,622.87,10.47,0.07,0,633.34,622.94,622.87
18.3421,587,633.66,622.81,10.78,0.07,0,633.59,622.88,622.81
18.3922,628,633.95,622.77,11.11,0.07,0,633.88,622.84,622.77
18.4423,594,634.27,622.74,11.45,0.08,0,634.19,622.82,622.74
18.4925,598,634.62,622.73,11.82,0.08,0,634.55,622.81,622.73
18.5426,594,635.01,622.72,12.21,0.08,0,634.93,622.8,622.72
18.5928,579,635.44,622.73,12.63,0.08,0.01,635.36,622.81,622.74
18.6429,650,636.01,622.75,13.14,0.08,0.05,635.89,622.83,622.8
18.693,651,637.3,622.78,14.42,0.08,0.02,637.2,622.86,622.8
18.7432,599,641.08,622.82,18.18,0.08,0,641,622.9,622.82
18.7933,637,651.08,622.87,28.13,0.08,0,651,622.95,622.87
18.8434,709,659.58,622.93,36.56,0.08,0,659.49,623.01,622.93
18.8936,686,651.56,623,28.48,0.08,0,651.48,623.08,623
18.9437,650,645.99,623.08,22.83,0.08,0,645.91,623.16,623.08
18.9938,624,643.96,623.17,20.7,0.09,0,643.87,623.26,623.17
19.044,600,643.36,623.27,20,0.09,0,643.27,623.36,623.27
19.0941,644,643.42,623.37,19.96,0.09,0,643.33,623.46,623.37
19.1443,658,643.86,623.49,20.28,0.09,0,643.77,623.58,623.49
19.1944,677,644.53,623.61,20.84,0.09,0,644.45,623.7,623.61
19.2445,722,645.4,623.74,21.57,0.09,0,645.31,623.83,623.74
19.2947,662,646.42,623.87,22.46,0.09,0,646.33,623.96,623.87
19.3448,666,647.6,624.01,23.49,0.09,0,647.5,624.1,624.01
19.3949,679,648.93,624.16,24.68,0.1,0,648.84,624.26,624.16
19.4451,721,650.41,624.31,26,0.1,0,650.31,624.41,624.31
19.4952,691,652.07,624.47,27.5,0.1,0,651.97,624.57,624.47
19.5454,717,653.93,624.64,29.19,0.1,0,653.83,624.74,624.64
19.5955,703,656,624.81,31.09,0.1,0,655.9,624.91,624.81
19.6456,708,658.32,624.98,33.24,0.1,0,658.22,625.08,624.98
19.6958,781,660.94,625.16,35.67,0.11,0,660.83,625.27,625.16
19.7459,785,663.89,625.35,38.43,0.11,0,663.78,625.46,625.35
19.796,797,667.24,625.53,41.58,0.12,0,667.11,625.65,625.53
19.8462,800,671.1,625.73,45.21,0.16,0,670.94,625.89,625.73
19.8963,844,675.54,625.92,49.41,0.21,0,675.33,626.13,625.92
19.9465,780,680.61,626.12,54.31,0.18,0,680.43,626.3,626.12
19.9966,888,686.54,626.32,60.07,0.15,0,686.39,626.47,626.32
20.0467,852,693.57,626.53,66.9,0.14,0,693.43,626.67,626.53
20.0969,840,701.87,626.73,75,0.14,0,701.73,626.87,626.73
20.147,878,712.02,626.94,84.94,0.14,0,711.88,627.08,626.94
20.1971,969,724.46,627.15,97.17,0.14,0,724.32,627.29,627.15
20.2473,909,739.97,627.36,112.47,0.14,0,739.83,627.5,627.36
20.2974,916,759.67,627.58,131.95,0.14,0,759.53,627.72,627.58
20.3476,991,785.27,627.79,157.33,0.15,0,785.12,627.94,627.79
20.3977,969,819.39,628.01,191.23,0.15,0,819.24,628.16,628.01
20.4478,1063,866.37,628.23,237.99,0.15,0,866.22,628.38,628.23
20.498,1059,933.62,628.44,305.02,0.16,0,933.46,628.6,628.44
20.5481,1208,1034.81,628.66,405.98,0.16,0,1034.64,628.82,628.66
20.5982,1323,1197.1,628.88,568.06,0.17,0,1196.94,629.05,628.88
20.6484,1778,1479.86,629.1,850.59,0.18,0,1479.69,629.28,629.1
20.6985,2396,2024.51,629.32,1395.01,0.18,0,2024.33,629.5,629.32
20.7486,3640,3178.6,629.53,2548.87,0.19,0,3178.4,629.72,629.53
20.7988,6350,5639.8,629.75,5009.85,0.2,0,5639.6,629.95,629.75
20.8489,9434,9042.54,629.97,8412.37,0.21,0,9042.34,630.18,629.97
20.8991,9031,8443.48,630.18,7813.08,0.22,0,8443.26,630.4,630.18
20.9492,5353,5161.36,630.39,4530.73,0.23,0,5161.12,630.62,630.39
20.9993,2875,2846.07,630.61,2215.22,0.25,0,2845.83,630.86,630.61
21.0495,1920,1848.87,630.82,1217.8,0.26,0,1848.62,631.08,630.82
21.0996,1411,1391.05,631.02,759.75,0.28,0,1390.77,631.3,631.02
21.1497,1268,1149.94,631.23,518.41,0.3,0,1149.64,631.53,631.23
21.1999,1150,1008.64,631.44,376.88,0.33,0,1008.32,631.77,631.44
21.25,1040,919.07,631.64,287.07,0.36,0,918.71,632,631.64
21.3002,974,858.87,631.84,226.63,0.39,0,858.47,632.23,631.84
21.3503,922,816.54,632.03,184.07,0.44,0,816.1,632.47,632.03
21.4004,902,785.71,632.23,152.99,0.49,0,785.22,632.72,632.23
21.4506,890,762.62,632.42,129.63,0.56,0,762.05,632.98,632.42
21.5007,893,745.05,632.61,111.78,0.64,0.02,744.39,633.25,632.63
21.5508,778,731.33,632.79,97.63,0.76,0.15,730.42,633.55,632.94
21.601,780,720.3,632.97,86.33,0.91,0.08,719.3,633.88,633.05
21.6511,749,711.47,633.15,77.18,1.14,0,710.33,634.29,633.15
